ID,Site_Name,Longitude,Latitude
SITE01,Crete,24.53,35.4174
SITE02,Mycenae,22.7575,37.7303
SITE03,Wallachia,26,44.4167
SITE04,Apuseni Mountains,22.5,46.5
SITE05,Transylvania,23.5833,46.7667
SITE06,Juzna Morava Valley,21.402,43.6906
SITE07,Babusnica,22.4117,43.0594
SITE08,Brnjica,20.195,43.286
SITE09,Klicevac-Rastovaca hoard,21,44.7333
SITE10,Valjevo,19.8981,44.2751
SITE11,Rudnik,20.5403,44.1414
SITE12,Bor,22.0959,44.0749
SITE13,Paracin,21.4078,43.8608
SITE14,Tekeris,19.5297,44.5572
SITE15,Loznica,19.2222,44.5333
SITE16,Bela Crkva,22.6167,44.6167
SITE17,Cer,19.5,44.4
SITE18,Jadar Valley,19.5,44
SITE19,Paleznica hoard,19,43.5
SITE20,Tetovo,20.9706,42.0042
SITE21,Banat,21,45.5
SITE22,Cerkovo,25,42.5
SITE23,Kirilovo,26.3333,42.6833
SITE24,Cernozem,25.5,42.5
SITE25,Yabalkovo,25.9333,42.2833
SITE26,Kamenovo,27.9,43.3833
SITE27,Taurus Mountains,35,37
SITE28,Makarska,17.0183,43.2967
SITE29,Klostar Ivanic,16.4167,45.6167
SITE30,Sardinia,9.1217,39.2238
SITE31,Southern Alps,11,46
SITE32,Cyprus,33.4299,35.1264
